parcel_id,latitude,longitude
"0081H00332000000","40.4778234484","-79.9365370514"
"0026F00083000000","40.4597254073","-79.9586982776"
"0231S00130000000","40.4545641076","-79.8684688395"
"0174R00387000000","40.455028649","-79.8871072204"
"0002J00104000000","40.438133723","-79.9988191547"
"0029D00005000000","40.4331304837","-79.9531804503"
"0008D00050000000","40.4521847532","-80.0028026941"
"0040S00125000000","40.4351453159","-80.0523237705"
"0001H00030000000","40.4399201571","-80.0035680945"
"0171E00150000000","40.489323592","-79.8959557388"
"0036N00360000000","40.4049687831","-80.0490301102"
"0024D00203000000","40.4615844602","-79.9842569871"
"0023K00391000000","40.456914215","-80.0083290822"
"0015M00278000000","40.416454934","-80.0002393485"
"0011F00080000000","40.4386614541","-79.9772585778"
"0127N00254000000","40.4333441605","-79.9132612614"
"0022D00199000000","40.461707788","-80.018489626"
"0002J00113000000","40.437604584","-79.9988991059"
"0082S00110000000","40.4726278223","-79.9184945748"
"0049G00128000000","40.4680483616","-79.9568418593"
"0050M00027000000","40.466879813","-79.9357625287"
"0050G00005000000","40.4675957159","-79.9408728496"
"0097H00045000000","40.3919417431","-80.0187348673"
"0084G00258000000","40.4587972853","-79.9211060768"
"0081F00131000000","40.4783697788","-79.9427021592"
"0085N00284000000","40.4437586914","-79.928852129"
"0052F00204000000","40.4501975246","-79.9411549762"
"0053B00100000000","40.4417684612","-79.94390358"
"0052J00152000000","40.446587782","-79.9492929647"
"0171H00185000000","40.4867976046","-79.8867522022"
"0084M00432000000","40.4563111163","-79.9189423394"
"0177A00194000000","40.4315721413","-79.8978930858"
"0051S00012000000","40.4544759759","-79.9368874324"
"0173E00049000000","40.4696977871","-79.8976579324"
"0002C00450000100","40.4415602968","-79.9914618561"
"0083C00297000000","40.4704587457","-79.9214658736"
"0086L00047000001","40.4377609366","-79.9211879619"
"0026D00049000000","40.461148651","-79.953088177"
"0020J00224000000","40.4460897119","-80.0478147807"
"0026C00319000000","40.4619223374","-79.9541574785"
"0121L00115000000","40.4847445791","-79.923908872"
"0086J00161000000","40.4370353922","-79.9289605358"
"0174G00394000000","40.4591881057","-79.8900314849"
"0004A00027000000","40.4329479784","-80.0155222981"
"0020L00211000000","40.4460300968","-80.0380419875"
"0175C00137000000","40.4504757679","-79.8899298315"
"0004S00330000000","40.4253788191","-80.0034613708"
"0046B00010000000","40.4719452435","-80.0078397315"
"0027H00078000000","40.448280121","-79.9520074267"
"0083N00125000000","40.4623681682","-79.9296214621"
"0231R00253000000","40.454650633","-79.8710652022"
"0086N00193000000","40.4339574149","-79.9320470675"
"0121L00069000000","40.4858672252","-79.9240242673"
"0052E00141000001","40.4487848208","-79.9473786824"
"0128A00136000000","40.4327742613","-79.9132026865"
"0243C00055000000","40.3642007523","-79.9071844885"
"0084N00176000000","40.4547450007","-79.9311022336"
"0012F00270000000","40.430030466","-79.9754054888"
"0050S00001000000","40.4648609327","-79.936834337"
"0001D00221000000","40.441986168","-80.000131615"
"0049F00082000000","40.4676851919","-79.9605761831"
"0087F00093000000","40.430623028","-79.9258980629"
"0007L00032000000","40.4471260635","-80.0220131787"
"0129C00155000000","40.4226800824","-79.9062229597"
"0052N00059000000","40.4440308089","-79.9478363646"
"0063E00135000000","40.4012518402","-80.0488750599"
"0053B00050000000","40.4437333149","-79.9424354286"
"0083G00052000000","40.4685287013","-79.9239038433"
"0178E00009000000","40.421140046","-79.898949411"
"0082S00235000000","40.4724747216","-79.9180131768"
"0083B00218000000","40.4701545447","-79.9272761288"
"0081C00163000000","40.4797357188","-79.9411128503"
"0040R00243000000","40.4352740877","-80.0548993447"
"0051E00077000000","40.4590066048","-79.9485349608"
"0012L00094000000","40.4263936427","-79.9734689085"
"0083D00312000000","40.4710730218","-79.9162691958"
"0007B00284000000","40.4519724751","-80.0261124051"
"0125K00180000000","40.4576365765","-79.9107938291"
"0084K00204000000","40.4569637848","-79.9261150675"
"0126A00263000000","40.4505352372","-79.9132938618"
"0114G00118000000","40.4871270252","-80.0369754722"
"0013P00045000000","40.4149746298","-79.9746392608"
"0171F00075000000","40.4884285327","-79.8922008885"
"0012R00058000000","40.4260262505","-79.9728767064"
"0045E00084000000","40.4684176633","-80.0321956368"
"0050M00331000000","40.4667663534","-79.9369617882"
"0036D00249000000","40.4120415504","-80.035736048"
"0001C01662000000","40.4425902212","-80.0068400373"
"0001C00167000001","40.4423791118","-80.00539972"
"0024K00313000000","40.4567726178","-79.9934179571"
"0025S00174000000","40.4532929823","-79.9679019234"
"0042P00080000000","40.4538642342","-80.0610996655"
"0088B00215000000","40.423032504","-79.9253963049"
"0009D00254000000","40.4506348221","-79.9878333698"
"0002J00104000000","40.438133723","-79.9988191547"
"0004C00039000000","40.431078252","-80.0068512858"
"0081B00352000000","40.479637095","-79.9412359806"
"0040C00244000000","40.4429082314","-80.0538860065"
"0080P00124000000","40.4738277218","-79.9612325058"
"0124A00271000000","40.4719999269","-79.9142559535"
"0231S00128000000","40.453799137","-79.8688326292"
"0080H00013000C00","40.4790689033","-79.9534148164"
"0120P00161000000","40.4827977492","-79.9440027606"
"0028A00285000000","40.4420305122","-79.9620887022"
"0175J00113000000","40.4464791687","-79.8986189818"
"0124E00025000000","40.4697066626","-79.9150319485"
"0050G00247000000","40.4688164067","-79.9411027352"
"0029H00090000000","40.4300658818","-79.9534625063"
"0029C00270006100","40.4325163814","-79.9548518803"
"0023M00012000000","40.4570531973","-80.0036108523"
"0002B00051000000","40.4413703466","-79.994859348"
"0045M00049000000","40.4671558942","-80.0186768885"
"0055R00155000000","40.4152572861","-79.9387043176"
"0025A00097000000","40.4605499368","-79.9808423575"
"0018G00120000000","40.4294192847","-80.0387582643"
"0022R00090000000","40.4545452227","-80.0226575027"
"0042N00023000000","40.4549898991","-80.0646195827"
"0051C00012000000","40.4619867178","-79.9409185546"
"0049M00178000000","40.4653923777","-79.9534761064"
"0001D00012000000","40.4418955326","-80.0034461455"
"0080K00090000000","40.4767268012","-79.9603895986"
